iter	Passed	Remaining
926	81565	6423
927	81648	6334
928	81734	6246
929	81821	6158
930	81906	6070
931	81997	5982
932	82091	5895
933	82174	5806
934	82264	5718
935	82349	5630
936	82433	5542
937	82525	5454
938	82608	5366
939	82692	5278
940	82780	5190
941	82865	5102
942	82950	5013
943	83040	4926
944	83124	4837
945	83207	4749
946	83295	4661
947	83383	4573
948	83468	4485
949	83557	4397
950	83643	4309
951	83727	4221
952	83817	4133
953	83904	4045
954	83991	3957
955	84079	3869
956	84164	3781
957	84250	3693
958	84342	3605
959	84428	3517
960	84513	3429
961	84602	3341
962	84693	3254
963	84788	3166
964	84875	3078
965	84960	2990
966	85053	2902
967	85136	2814
968	85220	2726
969	85306	2638
970	85394	2550
971	85479	2462
972	85566	2374
973	85650	2286
974	85732	2198
975	85822	2110
976	85908	2022
977	85993	1934
978	86086	1846
979	86171	1758
980	86253	1670
981	86343	1582
982	86427	1494
983	86512	1406
984	86602	1318
985	86687	1230
986	86773	1142
987	86860	1054
988	86945	967
989	87028	879
990	87121	791
991	87207	703
992	87294	615
993	87388	527
994	87473	439
995	87558	351
996	87649	263
997	87732	175
998	87816	87
999	87907	0
